ExerciseType,Start,End,Duration,MeanSpeed,MaxSpeed,Distance,Calories
1001,1481137861000,1481138550424,689424,1.664225657,2.1944444,936.98,41.45
1001,1481138520000,1481139426725,906725,1.567721064,1.9444444,1160.85,50
1001,1481151001262,1481151728203,726941,1.985275779,3.995275,1178.56,67.43
1001,1481569440000,1481570107237,667237,1.728832428,2.1111112,942.03,39.35
1001,1485049649000,1485050391615,742615,1.856161178,5.3055553,1125.67,55.17
1001,1488050846000,1488051706629,860629,1.749096388,2.2222223,1229.31,53.2
1001,1493403000000,1493404450816,1450816,1.695142388,1.7777778,2008.4,78.36
1001,1503053463000,1503054124651,661651,1.815698648,1.8888888,981.08,38.29
1001,1505074200000,1505076071154,1871154,1.474965604,2.3055556,2253.84,96.99
1001,1517059800000,1517060501725,701725,1.565076943,1.4444444,896.88,46.99
1001,1517068020000,1517070070175,2050175,1.515458503,2.4166667,2537.27,134.69
1001,1517070421000,1517071382870,961870,1.582424815,2.0277777,1243,64.22
1001,1517583487000,1517584143622,656622,1.652179374,2.3611112,885.94,46.86
1001,1518806340000,1518807011776,671776,1.506305655,1.5277778,826.36,41.73
6002,1516041300000,1516050300000,9000000,,,,1269
6002,1516127700000,1516136700000,9000000,,,,1269
1001,1521739682000,1521740414823,732823,1.685141923,1.8333334,1008.48,50.29
1001,1522415161000,1522415993741,832741,1.733722331,2.6666667,1179.02,60.09
1001,1523026140000,1523026854330,714330,1.780332109,2.0555556,1038.56,51.73
1001,1523027969000,1523028635618,666618,1.902594379,1.9166666,1035.75,50.93
1001,1525540800000,1525541463337,663337,1.500086405,2.3611112,812.61,40.24
1001,1530033600000,1530034277720,677720,1.593500048,1.7777778,881.93,43.2
1002,1530704220000,1530706320000,2100000,,,3782.9585,293
1001,1543586220000,1543587084126,864126,1.362498447,2.75,961.49,49.78
1001,1543674560000,1543675330074,770074,1.507311359,2.8333333,947.91003,49.12
1001,1543679228000,1543680842558,1614558,1.577812022,2.3333333,2080.37,102.36
11007,1545090808097,1545092412877,1604780,,10.07,9602,223
11007,1545531904789,1545534235103,2330314,,10.72,11622,270
11007,1546824961457,1546827260530,2299073,,10.6,13850,320
11007,1547608872811,1547611273621,2400810,,9.31,14066,334
11007,1548034881281,1548039064868,4183587,,10.37,20684,477
6002,1548268500000,1548277200000,8700000,,,,1251
6002,1548441300000,1548450900000,9600000,,,,1381
6002,1548704400000,1548710100000,5700000,,,,820
6002,1548788100000,1548796200000,8100000,,,,1165
6002,1549307277364,1549314165897,6888533,,,,991
6002,1549395303705,1549398994632,3690927,,,,531
6002,1549479007664,1549487046142,8038478,,,,1156
1002,1549566504498,1549566925882,421384,,3.7300003,1300,96
6002,1549567956348,1549573129380,5173032,,,,744
1002,1549913918910,1549914263261,344351,,3.6333332,967,78
6002,1549914295280,1549919697114,5401834,,,,777
6002,1550003195984,1550003927794,731810,,,,105
11007,1550201709816,1550205038969,3329153,,8.88,21392,495
6002,1550689731956,1550696437216,6705260,,,,964
6002,1550778357278,1550779187324,830046,,,,119
6002,1550786760000,1550790360000,3600000,,,,518
6002,1551295560198,1551298725774,3165576,,,,455
1002,1551728657362,1551728867526,210164,,4.7000003,724,50
6002,1551728888176,1551733644797,4756621,,,,684
1001,1552187640000,1552188301131,661131,1.44648911,1.3888888,780.97,41
1002,1552415400000,1552415609000,209000,,,725.20483,56
6002,1552329600000,1552334280000,4680000,,,,714
1002,1552506509533,1552506698636,189103,,4.23,659,64
6002,1552506856830,1552507714191,857361,,,,130
11007,1552961458064,1552963970794,2512730,,9.41,16373,412
11007,1553047807152,1553050465659,2658507,,8.27,14329,350
1002,1553538577931,1553538735098,157167,,5.7466674,644,40
6002,1553538787854,1553546970244,8182390,,,,1248
6002,1553808603745,1553810381968,1778223,,,,271
